"7A121","MOSTYN CLINIC","W00","Q99","MAES PENNANT ROAD","MOSTYN","","HOLYWELL","CLWYD","CH8 9PY","20091001","","","","","","","","","","","0","","","","",""
"7A122","MYNYDD ISA CLINIC","W00","Q99","MERCIA DRIVE","MYNYDD ISA","","MOLD","CLWYD","CH7 6UH","20091001","","","","","","","","","","","0","","","","",""
"7A123","NORTHOP HALL CLINIC","W00","Q99","INSTITUTE LANE","NORTHOP HALL","","MOLD","CLWYD","CH7 6LA","20091001","","","","","","","","","","","0","","","","",""
"7A124","CANOLFAN ADDYSG Y BONT","W00","Q99","FFORDD CILDWRN","","","LLANGEFNI","GWYNEDD","LL77 7PG","20160401","","","","","","","","","","","0","","","","",""
"7A125","PEN-Y-CAE COMMUNITY CENTRE CLINIC","W00","Q99","HILL STREET","PENYCAE","","WREXHAM","CLWYD","LL14 2RD","20091001","","","","","","","","","","","0","","","","",""
"7A126","PEULWYS CLINIC","W00","Q99","YSGOL TAN Y MARIAN","SWN Y DON","","COLWYN BAY","CLWYD","LL29 9LL","20091001","","","","","","","","","","","0","","","","",""
"7A128","RHOS-ON-SEA CLINIC","W00","Q99","PARK WAY","RHOS ON SEA","","COLWYN BAY","CLWYD","LL28 4SD","20091001","","","","","","","","","","","0","","","","",""
"7A12A","CHILD DEVELOPMENT CLINIC - LEASED","W00","Q99","SYDALLT LANE","CEFN-Y-BEDD","","WREXHAM","CLWYD","LL12 9SS","20091001","","","","","","","","","","","0","","","","",""
"7A133","DELYN COMMUNITY MENTAL HEALTH CENTRE","W00","Q99","UNIT 1","ACORN BUSINESS PARK","","FLINT","CLWYD","CH6 5YN","20091001","","","","","","","","","","","0","","","","",""
"7A13A","APPLE RESIDENTIAL HOME FOR OUTPATIENT CLINICS","W00","Q99","12 RIVIERES AVENUE","","","COLWYN BAY","CLWYD","LL29 7DP","20091001","","","","","","","","","","","0","","","","",""
"7A13B","CADWGAN SURGERY FOR OUTPATIENT CLINICS","W00","Q99","11 BODELWYDDAN AVENUE","OLD COLWYN","","COLWYN BAY","CLWYD","LL29 9NP","20091001","","","","","","","","","","","0","","","","",""
"7A13C","PLAS-Y-MOR NURSING HOME FOR OUTPATIENT CLINICS","W00","Q99","30-31 EAST PARADE","","","RHYL","CLWYD","LL18 3AL","20091001","","","","","","","","","","","0","","","","",""
"7A14H","GROVE ROAD HEALTH CENTRE","W00","Q99","GROVE ROAD","","","WREXHAM","CLWYD","LL11 1DY","20091001","","","","","","","","","","","0","","","","",""
"7A14K","LLWYN VIEW CLINIC","W00","Q99","PENMAENPOOL","","","DOLGELLAU","GWYNEDD","LL40 1YF","20091001","","","","","","","","","","","0","","","","",""
"7A14M","CRAIG HYFRYD HEALTH CENTRE","W00","Q99","CAMBRIA STREET","","","HOLYHEAD","GWYNEDD","LL65 1NH","20091001","","","","","","","","","","","0","","","","",""
"7A14N","SANT TYSILIO MEDICAL CENTRE","W00","Q99","SANT TYSILIO","","","LLANFAIRPWLLGWYNGYLL","GWYNEDD","LL61 5YR","20091001","","","","","","","","","","","0","","","","",""
"7A14P","BODREINALLT SURGERY","W00","Q99","CASTLE STREET","","","CONWY","GWYNEDD","LL32 8AY","20091001","","","","","","","","","","","0","","","","",""
"7A14Q","LLANFAELOG CLINIC","W00","Q99","LANDS END","","","HOLYHEAD","GWYNEDD","LL65 1UB","20091001","","","","","","","","","","","0","","","","",""
"7A14R","CILAN MHRC","W00","Q99","PENLAN STREET","","","PWLLHELI","GWYNEDD","LL53 5DH","20091001","","","","","","","","","","","0","","","","",""
"7A14T","ISFRYN CLINIC","W00","Q99","ISFRYN","FFORDD DEWI SANT, NEFYN","","PWLLHELI","GWYNEDD","LL53 6EA","20091001","","","","","","","","","","","0","","","","",""
"7A14V","BANGOR DRUG ADVISORY CENTRE","W00","Q99","LLYS GWYNEDD","FFORDD GWYNEDD","","BANGOR","GWYNEDD","LL57 1DT","20091001","","","","","","","","","","","0","","","","",""
"7A14W","BROMFIELD MEDICAL CENTRE","W00","Q99","SEALMART HOUSE","BRYN HILYN LANE","","MOLD","CLWYD","CH7 1JY","20091001","","","","","","","","","","","0","","","","",""
"7A14X","WREXHAM COMMUNITY DRUGS & ALCOHOL SERVICE","W00","Q99","THE ELMS","RHOSDDU ROAD","","WREXHAM","CLWYD","LL11 1EB","20091001","","","","","","","","","","","0","","","","",""
"7A15E","HAFOD MENTAL HEALTH RESOURCE CENTRE RHYL","W00","Q99","BEECHWOOD ROAD","","","RHYL","CLWYD","LL18 3EU","20091001","","","","","","","","","","","0","","","","",""
"7A15R","ARTIFICIAL LIMB AND APPLIANCE CENTRE WREXHAM","W00","Q99","WREXHAM MAELOR HOSPITAL","WATERY ROAD","WREXHAM TECHNOLOGY PARK","WREXHAM","CLWYD","LL13 7NT","20091001","","","","","","","","","","","0","","","","",""
"7A15Z","FFESTINIOG OUTPATIENTS DEPARTMENT","W00","Q99","WYNNE ROAD","","","BLAENAU FFESTINIOG","GWYNEDD","LL41 3DW","20091001","","","","","","","","","","","0","","","","",""
"7A1A1","YSBYTY GLAN CLWYD","W00","Q99","GLAN CLWYD HOSPITAL","RHUDDLAN ROAD","BODELWYDDAN","RHYL","CLWYD","LL18 5UJ","20091001","","","","","","","","","","","0","","","","",""
"7A1A2","ABERGELE HOSPITAL","W00","Q99","LLANFAIR ROAD","","","ABERGELE","CLWYD","LL22 8DP","20091001","","","","","","","","","","","0","","","","",""
"7A1A4","WREXHAM MAELOR HOSPITAL","W00","Q99","CROESNEWYDD ROAD","WREXHAM TECHNOLOGY PARK","","WREXHAM","CLWYD","LL13 7TD","20091001","","","","","","","","","","","0","","","","",""
"7A1A5","ROYAL ALEXANDRA HOSPITAL","W00","Q99","MARINE DRIVE","","","RHYL","CLWYD","LL18 3AS","20091001","","","","","","","","","","","0","","","","",""
"7A1A7","CHIRK COMMUNITY HOSPITAL","W00","Q99","CHIRK","","","WREXHAM","CLWYD","LL14 5LN","20091001","","","","","","","","","","","0","","","","",""
"7A1A8","COLWYN BAY COMMUNITY HOSPITAL","W00","Q99","HESKETH ROAD","OLD COLWYN","","COLWYN BAY","CLWYD","LL29 8AY","20091001","","","","","","","","","","","0","","","","",""
